,Year,bResult,rResult,gamelength
782,2017,1,0,28
783,2017,0,1,34
784,2017,0,1,43
785,2017,1,0,39
786,2017,0,1,34
787,2017,0,1,34
788,2017,0,1,26
789,2017,0,1,39
790,2017,0,1,44
791,2017,0,1,47
792,2017,0,1,27
793,2017,0,1,38
794,2017,1,0,26
795,2017,0,1,35
796,2017,1,0,39
797,2017,1,0,29
798,2017,0,1,30
799,2017,1,0,26
800,2017,0,1,39
801,2017,1,0,33
802,2017,0,1,38
803,2017,1,0,38
804,2017,1,0,43
805,2017,0,1,55
806,2017,1,0,46
807,2017,0,1,41
808,2017,1,0,40
809,2017,0,1,29
810,2017,1,0,36
811,2017,0,1,28
812,2017,1,0,30
813,2017,1,0,30
814,2017,1,0,32
815,2017,1,0,36
816,2017,0,1,35
817,2017,1,0,36
818,2017,1,0,37
819,2017,1,0,43
820,2017,1,0,32
821,2017,0,1,36
822,2017,1,0,65
823,2017,0,1,45
824,2017,0,1,41
825,2017,0,1,35
826,2017,1,0,36
827,2017,0,1,37
828,2017,0,1,37
829,2017,1,0,67
830,2017,0,1,48
831,2017,1,0,35
832,2017,0,1,39
833,2017,0,1,26
834,2017,1,0,40
835,2017,1,0,45
836,2017,1,0,36
837,2017,0,1,38
838,2017,0,1,35
839,2017,1,0,34
840,2017,0,1,26
841,2017,0,1,34
842,2017,0,1,34
843,2017,0,1,32
844,2017,0,1,32
845,2017,1,0,34
846,2017,1,0,36
847,2017,0,1,33
848,2017,1,0,45
849,2017,0,1,29
850,2017,1,0,23
851,2017,1,0,48
852,2017,0,1,32
853,2017,0,1,43
854,2017,1,0,38
855,2017,1,0,42
856,2017,0,1,54
857,2017,0,1,45
858,2017,0,1,42
859,2017,1,0,31
860,2017,1,0,27
861,2017,0,1,42
862,2017,1,0,33
863,2017,0,1,44
864,2017,1,0,43
865,2017,0,1,38
866,2017,1,0,35
867,2017,1,0,41
868,2017,1,0,53
869,2017,1,0,38
870,2017,0,1,33
871,2017,1,0,43
872,2017,1,0,40
873,2017,1,0,37
874,2017,0,1,36
875,2017,1,0,35
876,2017,0,1,43
877,2017,1,0,28
878,2017,0,1,30
879,2017,1,0,36
880,2017,0,1,34
881,2017,1,0,34
882,2017,1,0,37
883,2017,1,0,46
884,2017,1,0,37
885,2017,0,1,38
886,2017,0,1,41
887,2017,0,1,34
888,2017,1,0,47
889,2017,1,0,33
890,2017,1,0,34
891,2017,1,0,37
892,2017,1,0,41
893,2017,1,0,43
894,2017,0,1,62
895,2017,1,0,24
896,2017,1,0,34
897,2017,1,0,47
898,2017,0,1,41
899,2017,1,0,39
900,2017,1,0,30
901,2017,0,1,41
902,2017,0,1,34
903,2017,1,0,26
904,2017,1,0,27
905,2017,0,1,33
906,2017,0,1,47
907,2017,1,0,43
908,2017,0,1,42
909,2017,1,0,32
910,2017,0,1,32
911,2017,0,1,39
912,2017,1,0,50
913,2017,0,1,36
914,2017,0,1,47
915,2017,0,1,42
916,2017,0,1,38
917,2017,0,1,26
918,2017,0,1,44
919,2017,0,1,28
920,2017,1,0,41
921,2017,0,1,36
922,2017,0,1,39
923,2017,0,1,44
924,2017,0,1,30
925,2017,1,0,34
926,2017,1,0,51
927,2017,1,0,40
928,2017,1,0,29
929,2017,1,0,34
930,2017,0,1,29
931,2017,0,1,47
932,2017,1,0,37
933,2017,1,0,30
934,2017,0,1,30
935,2017,1,0,35
936,2017,1,0,32
937,2017,1,0,35
938,2017,1,0,34
939,2017,0,1,38
940,2017,0,1,34
941,2017,0,1,28
942,2017,1,0,24
943,2017,1,0,32
944,2017,0,1,36
945,2017,1,0,34
946,2017,1,0,51
947,2017,1,0,29
948,2017,0,1,38
949,2017,0,1,31
950,2017,1,0,29
951,2017,1,0,51
952,2017,1,0,32
953,2017,0,1,28
954,2017,0,1,33
955,2017,0,1,34
956,2017,1,0,30
957,2017,1,0,37
958,2017,1,0,50
959,2017,1,0,58
960,2017,1,0,42
